first_dose_pcttakeup,full_regimen_pcttakeup,eligibile_pop_takeup,vacc_date
80,61,67,2021-07-30
80,62,68,2021-07-31
80,63,70,2021-08-01
80,64,71,2021-08-02
80,65,72,2021-08-03
81,66,73,2021-08-04
81,67,74,2021-08-05
81,68,76,2021-08-06
81,69,77,2021-08-07
81,70,78,2021-08-08
81,71,79,2021-08-09
81,72,79,2021-08-10
82,73,80,2021-08-11
82,73,81,2021-08-12
82,74,82,2021-08-13
82,75,83,2021-08-14
82,75,83,2021-08-15
82,76,84,2021-08-16
83,76,84,2021-08-17
83,76,84,2021-08-18
83,77,85,2021-08-19
83,77,85,2021-08-20
83,77,85,2021-08-21
83,77,86,2021-08-22
83,78,86,2021-08-23
83,78,86,2021-08-24
83,78,86,2021-08-25
83,78,86,2021-08-26
84,78,87,2021-08-27
84,79,87,2021-08-28
84,79,87,2021-08-29
84,79,87,2021-08-30
84,79,88,2021-08-31
84,79,88,2021-09-01
84,79,88,2021-09-02
84,80,88,2021-09-03
84,80,88,2021-09-04
84,80,89,2021-09-05
84,80,89,2021-09-06
84,80,89,2021-09-07
84,81,89,2021-09-08
84,81,89,2021-09-09
84,81,89,2021-09-10
85,81,90,2021-09-11
85,81,90,2021-09-12
85,81,90,2021-09-13
85,81,90,2021-09-14
85,81,90,2021-09-15
85,81,90,2021-09-16
85,82,90,2021-09-17
85,82,90,2021-09-18
85,82,90,2021-09-19
85,82,90,2021-09-20
85,82,91,2021-09-21
85,82,91,2021-09-22
85,82,91,2021-09-23
85,82,91,2021-09-24
85,82,91,2021-09-25
85,82,91,2021-09-26
85,82,91,2021-09-27
85,82,91,2021-09-28
85,82,91,2021-09-29
85,83,91,2021-09-30
85,83,91,2021-10-01
85,83,91,2021-10-02
85,83,91,2021-10-03
86,83,92,2021-10-04
86,83,92,2021-10-05
86,83,92,2021-10-06
86,83,92,2021-10-07
86,83,92,2021-10-08
86,83,92,2021-10-09
86,83,92,2021-10-10
86,83,92,2021-10-11
86,83,92,2021-10-12
